date,created_cum,done_cum
2026-01-31,8,6
2026-02-02,8,7
2026-02-03,9,8
2026-02-05,10,9
2026-02-10,14,12
2026-02-26,20,20
2026-03-03,22,23
2026-03-06,23,24
2026-03-08,24,24
2026-03-09,34,27
2026-03-10,39,31
2026-03-12,39,32
2026-03-13,40,34
2026-03-15,40,35
2026-03-17,43,38
2026-03-22,43,39
2026-03-23,46,41
2026-03-31,52,45
2026-04-01,54,46
2026-04-02,54,49
2026-04-04,54,50
2026-04-08,55,50
2026-04-09,57,53
2026-04-10,60,57
2026-04-13,60,58
2026-04-17,61,58
2026-04-19,61,60
2026-04-22,67,64
